mol,molecular_weight,xlogp,complexity,rotatable_bond_count,heavy_atom_count,topological_area
BaO,153.33,,2,0,2,17.1
CrCl3,158.35,,0,0,4,0.0
PBr5,430.49,4.7,37.1,0,6,0.0
WCl5,361.1,,37.1,0,6,0.0
HgI2,454.40,,2.8,0,3,0.0
Zn2SiO4,222.8,,19.1,0,7,92.2
KMgF3,120.399,,0,0,5,0.0
DyF3,219.495,,8,0,4,0.0
UCl4,379.8,,19.1,0,5,0.0
InI3,495.531,,8,0,4,0.0
Cd2P2O7,398.77,,124,0,11,136.0
SeO3,126.97,,61.8,0,4,51.2
CuBr,143.45,,2,0,2,0.0
SrMoO4,247.57,,85.2,0,6,80.3
K2P2O7,252.14,,124,0,11,136.0
PbTe,335,,2,0,2,0.0
PbO,223,,2,0,2,17.1
TiCl2,118.77,,2.8,0,3,0.0
Na2BeF4,130.985334,,2.8,0,7,0.0
AlF3,83.976748,,8,0,4,0.0
CCl4,153.8,2.8,19.1,0,5,0.0
Ag2WO4,463.57,,62.2,0,7,80.3
ZnCl2,136.3,,2.8,0,3,0.0
BiCl3,315.33,,8,0,4,0.0
CaSiO3,116.16,,18.8,0,5,63.2
UF4,314.0225,,19.1,0,5,0.0
TlPO3,283.36,,18.8,0,5,63.2
DyCl3,268.85,,8,0,4,0.0
RbBr,165.37,,2,0,2,0.0
As2S3,246.0,,33.4,0,5,75.9
GdF2,195.2,,2.8,0,3,0.0
SbF5,216.752,,37.1,0,6,0.0
Ag2CrO4,331.730,,62.2,0,7,80.3
UO2,270.028,,18.3,0,3,34.1
Bi2Se3,654.9,,6.9,0,5,0.0
AgCN,133.886,,12.8,0,3,23.8
Na2B4O7,201.2,,121,0,13,92.3
LaF3,195.9007,,8,0,4,0.0
Li3PO4,115.9,,36.8,0,8,86.2
KIO3,214.001,,49.8,0,5,57.2
ThO2,264.036,,18.3,0,3,34.1
LiAlF,52.9,,2,0,3,0.0
MgFe2O4,199.99,,7.5,0,7,80.3
SnCl4,260.5,,19.1,0,5,0.0
ZnMoO4,225.3,,0,0,6,4.0
LiBr,86.9,,2,0,2,0.0
RbNO2,131.473,,13.5,0,4,52.5
Pb2P2O7,5.9e+02,,124,0,11,136.0
Na2S2,110.11,,4,0,4,2.0
PBF2,79.78,,29,0,4,0.0
SnTe,246.3,,2,0,2,0.0
CaNO3,102.08,,18.8,0,5,62.9
NH3,17.031,-0.7,0,0,1,1.0
CsC2H3O2,191.95,,34.6,0,5,40.1
HfO2,210.48,,18.3,0,3,34.1
PbTeO3,383,,18.8,0,5,63.2
AsBr3,314.63,,8,0,4,0.0
WO2,215.84,,18.3,0,3,34.1
MgCO3,84.31,,18.8,0,5,63.2
NiCl2,129.60,,2.8,0,3,0.0
CsCl,168.36,,2,0,2,0.0
Na2S4,174.2,,7.5,1,6,52.6
NaI,149.8942,,2,0,2,0.0
Ti3O,159.60,,0,0,4,1.0
SiBr4,347.70,,19.1,0,5,0.0
CdSe,191.38,,2,0,2,0.0
K3PO4,212.266,,36.8,0,8,86.2
EuS,184.03,,2,0,2,32.1
